Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,LEAF1A,Ethernet51,172.16.200.1/31,spine,SPINE1,Ethernet1,172.16.200.0/31
l3leaf,LEAF1A,Ethernet52,172.16.200.3/31,spine,SPINE2,Ethernet1,172.16.200.2/31
l3leaf,LEAF1B,Ethernet51,172.16.200.5/31,spine,SPINE1,Ethernet2,172.16.200.4/31
l3leaf,LEAF1B,Ethernet52,172.16.200.7/31,spine,SPINE2,Ethernet2,172.16.200.6/31
l3leaf,LEAF2A,Ethernet51,172.16.200.9/31,spine,SPINE1,Ethernet3,172.16.200.8/31
l3leaf,LEAF2A,Ethernet52,172.16.200.11/31,spine,SPINE2,Ethernet3,172.16.200.10/31
l3leaf,LEAF2B,Ethernet51,172.16.200.13/31,spine,SPINE1,Ethernet4,172.16.200.12/31
l3leaf,LEAF2B,Ethernet52,172.16.200.15/31,spine,SPINE2,Ethernet4,172.16.200.14/31
